"(PDH-CSV 4.0) (Korea Standard Time)(-540)","\\DESKTOP-PBJRE7A\Process(myIOCP)\% Processor Time","\\DESKTOP-PBJRE7A\Process(myIOCP)\Handle Count","\\DESKTOP-PBJRE7A\Process(myIOCP)\Private Bytes","\\DESKTOP-PBJRE7A\Process(myIOCP)\Thread Count"
"06/02/2026 14:04:41.642","53.535126656971655734","1533","422461440","48"
"06/02/2026 14:04:46.649","59.981369786544306066","1559","422461440","48"
"06/02/2026 14:04:51.660","60.487289797064811125","1579","422461440","48"
"06/02/2026 14:04:56.644","52.668226528991723967","1529","422461440","48"
"06/02/2026 14:05:01.644","39.375311852469877749","1224","422461440","48"
"06/02/2026 14:05:06.647","30.294712156810003734","876","422461440","48"
"06/02/2026 14:05:11.656","22.142098070747891825","907","422461440","48"
"06/02/2026 14:05:16.690","26.391250343471256201","970","422461440","48"
"06/02/2026 14:05:21.635","13.585897673414898179","1000","422461440","48"
"06/02/2026 14:05:26.658","20.839512196860120241","1066","422461440","48"
"06/02/2026 14:05:31.653","30.346192163311236811","1089","422461440","48"
"06/02/2026 14:05:36.646","28.788926082734988654","1133","422461440","48"
"06/02/2026 14:05:41.657","26.194028076924663395","1207","422461440","48"
"06/02/2026 14:05:46.653","18.449371801767000534","1270","422461440","48"
"06/02/2026 14:05:51.685","40.373824746533877317","1289","422461440","48"
"06/02/2026 14:05:56.651","34.609066655240049215","1320","422461440","48"
"06/02/2026 14:06:01.657","37.743979579471428565","1476","422461440","48"
"06/02/2026 14:06:06.646","37.918168075703285069","1511","422461440","48"
"06/02/2026 14:06:11.643","39.710749055141825181","1572","422461440","48"
"06/02/2026 14:06:16.656","48.005130229713799395","1541","422461440","48"
"06/02/2026 14:06:21.645","46.971910567005423331","1628","422461440","48"
"06/02/2026 14:06:26.649","37.160450165115811672","1598","422461440","48"
"06/02/2026 14:06:31.661","46.762178761788582904","1586","422461440","48"
"06/02/2026 14:06:36.648","49.499689718400652794","1616","422461440","48"
"06/02/2026 14:06:41.657","57.089489905519997137","1659","422461440","48"
"06/02/2026 14:06:46.657","53.440282101086175714","1662","422461440","48"
"06/02/2026 14:06:51.640","25.398093607304101482","1658","422461440","48"
"06/02/2026 14:06:56.647","46.176943457755484701","1638","422461440","48"
"06/02/2026 14:07:01.650","59.139273025129746486","1645","422461440","48"
"06/02/2026 14:07:06.658","41.855573563201005527","1678","422461440","48"
"06/02/2026 14:07:11.641","56.448466032755241883","1705","422461440","48"
"06/02/2026 14:07:16.643","48.733989909634885862","1688","422461440","48"
"06/02/2026 14:07:21.651","55.225734847980334052","1657","422461440","48"
"06/02/2026 14:07:26.644","44.114502175164084008","1666","422461440","48"
"06/02/2026 14:07:31.644","47.823713704389405166","1650","422461440","48"
"06/02/2026 14:07:36.653","45.234148122670795544","1697","422461440","48"
"06/02/2026 14:07:41.644","37.877431766179491035","1675","422461440","48"
"06/02/2026 14:07:46.647","37.48119943036572721","1679","422461440","48"
"06/02/2026 14:07:51.649","38.717806917903899944","1658","422461440","48"
"06/02/2026 14:07:56.645","22.525745575648230101","1616","422461440","48"
"06/02/2026 14:08:01.655","29.62838426258392488","1613","422461440","48"
"06/02/2026 14:08:06.648","34.736623838700211309","1591","422461440","48"
"06/02/2026 14:08:11.652","27.473186170297793751","1609","422461440","48"
"06/02/2026 14:08:16.646","35.041734004364514021","1580","422461440","48"
"06/02/2026 14:08:21.656","52.087965107476122739","1619","422461440","48"
"06/02/2026 14:08:26.652","35.026693843378033932","1574","422461440","48"
"06/02/2026 14:08:31.646","40.050062578222778598","1573","422461440","48"
"06/02/2026 14:08:36.654","25.587934341829800644","1563","422461440","48"
"06/02/2026 14:08:41.636","33.554733528000127762","1595","422461440","48"
"06/02/2026 14:08:46.638","33.737132657604391284","1562","422461440","48"
"06/02/2026 14:08:51.646","48.351129410511418882","1631","422461440","48"
"06/02/2026 14:08:56.653","31.525778143103348583","1627","422461440","48"
"06/02/2026 14:09:01.648","22.830752273212343795","1571","422461440","48"
"06/02/2026 14:09:06.649","40.612182795109866618","1622","422461440","48"
"06/02/2026 14:09:11.649","46.258682754753067456","1634","422461440","48"
"06/02/2026 14:09:16.653","43.710698836462157146","1596","422461440","48"
"06/02/2026 14:09:21.645","25.984606453655572977","1634","422461440","48"
"06/02/2026 14:09:26.646","40.921224810468380895","1586","422461440","48"
"06/02/2026 14:09:31.643","41.586844939027308499","1574","422461440","48"
"06/02/2026 14:09:36.655","45.215464899398000398","1609","422461440","48"
"06/02/2026 14:09:41.637","42.651089779500289012","1583","422461440","48"
"06/02/2026 14:09:46.642","35.27960177134821862","1583","422461440","48"
"06/02/2026 14:09:51.641","43.441898057759367191","1587","422461440","48"
"06/02/2026 14:09:56.654","46.124337931253336365","1587","422461440","48"
"06/02/2026 14:10:01.647","52.896387322727363767","1570","422461440","48"
"06/02/2026 14:10:06.654","22.776429879057729977","1562","422461440","48"
"06/02/2026 14:10:11.637","26.337509535934284344","1545","422461440","48"
"06/02/2026 14:10:16.635","30.645460135004533697","1532","422461440","48"
"06/02/2026 14:10:21.657","55.056073036468269777","1525","422461440","48"
"06/02/2026 14:10:26.643","36.978887747660522223","1531","422461440","48"
"06/02/2026 14:10:31.653","44.29625277958362517","1567","422461440","48"
"06/02/2026 14:10:36.648","35.01217723524241876","1533","422461440","48"
"06/02/2026 14:10:41.645","53.81701725524761315","1543","422461440","48"
"06/02/2026 14:10:46.647","32.175479240955581872","1522","422461440","48"
"06/02/2026 14:10:51.658","60.803459988524501512","1587","422461440","48"
"06/02/2026 14:10:56.654","49.407823593526124739","1608","422461440","48"
"06/02/2026 14:11:01.654","56.869819159474573667","1624","422461440","48"
"06/02/2026 14:11:06.655","54.059941883550067132","1600","422461440","48"
"06/02/2026 14:11:11.645","60.430893789877373479","1639","422461440","48"
"06/02/2026 14:11:16.643","52.528424180892763218","1628","422461440","48"
"06/02/2026 14:11:21.655","56.415455372190606909","1631","422461440","48"
"06/02/2026 14:11:26.642","54.522303999160612875","1635","422461440","48"
"06/02/2026 14:11:31.653","57.370877660484651983","1667","422535168","48"
"06/02/2026 14:11:36.651","62.216812829196342705","1650","422535168","48"
"06/02/2026 14:11:41.653","69.032128624690287211","1649","422535168","48"
"06/02/2026 14:11:46.650","61.277020715054511868","1611","422535168","48"
"06/02/2026 14:11:51.661","50.523641491385639313","1653","422535168","48"
"06/02/2026 14:11:56.654","50.074109682329847715","1637","422535168","48"
"06/02/2026 14:12:01.638","82.369989063370113058","1608","422535168","48"
"06/02/2026 14:12:06.645","42.788151830082611582","1658","422535168","48"
"06/02/2026 14:12:11.658","67.627071978799889962","1643","422535168","48"
"06/02/2026 14:12:16.648","68.260929353840893441","1608","422535168","48"
"06/02/2026 14:12:21.657","45.243571418943240303","1653","422535168","48"
"06/02/2026 14:12:26.647","61.965465862230907135","1636","422535168","48"
"06/02/2026 14:12:31.653","71.182757919558866888","1643","422535168","48"
"06/02/2026 14:12:36.639","84.263416003851261848","1645","422535168","48"
"06/02/2026 14:12:41.663","68.460685144579016992","1640","422535168","48"
"06/02/2026 14:12:46.640","66.249842834022132365","1593","422535168","48"
"06/02/2026 14:12:51.649","86.719787190490720263","1629","422535168","48"
"06/02/2026 14:12:56.656","67.703240510464212321","1620","422535168","48"
"06/02/2026 14:13:01.653","71.541106347557828826","1625","422535168","48"
"06/02/2026 14:13:06.654","70.055597523306445851","1591","422535168","48"
"06/02/2026 14:13:11.656","49.972002685775265718","1609","422535168","48"
"06/02/2026 14:13:16.654","53.760275739104770309","1635","422535168","48"
"06/02/2026 14:13:21.651","49.735822330259630064","1607","422535168","48"
"06/02/2026 14:13:26.641","41.338936588175798192","1641","422535168","48"
"06/02/2026 14:13:31.648","57.090000555251727121","1634","422535168","48"
"06/02/2026 14:13:36.645","70.005523435799091203","1617","422535168","48"
"06/02/2026 14:13:41.639","41.64608035157918664","1648","422535168","48"
"06/02/2026 14:13:46.644","61.81420819880479911","1587","422535168","48"
"06/02/2026 14:13:51.644","61.249475704487963412","1646","422535168","48"
"06/02/2026 14:13:56.655","47.997172011611795028","1622","422535168","48"
"06/02/2026 14:14:01.644","61.098767753534744429","1617","422535168","48"
"06/02/2026 14:14:06.655","55.179534978153846225","1586","422535168","48"
"06/02/2026 14:14:11.651","51.92415452011801591","1619","422535168","48"
"06/02/2026 14:14:16.644","45.692745892770460614","1590","422535168","48"
"06/02/2026 14:14:21.642","59.713451466007128943","1559","422535168","48"
"06/02/2026 14:14:26.647","44.017208053601166284","1590","422535168","48"
